"","ligand","receptor","species","celltype_sender","celltype_receiver","lr_co_exp_num","lr_co_ratio","lr_co_ratio_pvalue","score"
"8201","LAMA5","ITGB4","Human","TStroma","TPancreatic_tissue",18,0.0604026845637584,0.088,0.795601778005241
"821","LAMC1","ITGB4","Human","TStroma","TPancreatic_tissue",29,0.0973154362416107,0,0.833102285403293
"822","LAMA1","ITGB4","Human","TStroma","TPancreatic_tissue",13,0.0436241610738255,0,0.833102285403293
"833","LAMA1","ITGB8","Human","TStroma","TPancreatic_tissue",5,0.0167785234899329,0,0.741430028319832
"834","VTN","ITGB8","Human","TStroma","TPancreatic_tissue",5,0.0167785234899329,0,0.741430028319832
"835","COL4A1","ITGB8","Human","TStroma","TPancreatic_tissue",12,0.0402684563758389,0,0.741430028319832
"836","FN1","ITGB8","Human","TStroma","TPancreatic_tissue",13,0.0436241610738255,0,0.741430028319832
"867","ADCYAP1","RAMP3","Human","TStroma","TPancreatic_tissue",2,0.00671140939597315,0,0.862466338598005
"868","ADM","RAMP3","Human","TStroma","TPancreatic_tissue",6,0.0201342281879195,0,0.862466338598005
"869","ADM2","RAMP3","Human","TStroma","TPancreatic_tissue",13,0.0436241610738255,0,0.862466338598005
"888","BMP2","SMO","Human","TStroma","TPancreatic_tissue",9,0.0302013422818792,0,0.876876820669771
"889","SHH","SMO","Human","TStroma","TPancreatic_tissue",7,0.023489932885906,0,0.876876820669771
"893","AFDN","NECTIN2","Human","TStroma","TPancreatic_tissue",43,0.144295302013423,0,0.829534979291936
"894","ADCYAP1","RAMP2","Human","TStroma","TPancreatic_tissue",3,0.0100671140939597,0,0.837366176673062
"895","ADM","RAMP2","Human","TStroma","TPancreatic_tissue",7,0.023489932885906,0,0.837366176673062
"896","ADM2","RAMP2","Human","TStroma","TPancreatic_tissue",12,0.0402684563758389,0,0.837366176673062
"900","ADM","RAMP1","Human","TStroma","TPancreatic_tissue",15,0.0503355704697987,0,0.84321070891215
"9011","ADM2","RAMP1","Human","TStroma","TPancreatic_tissue",33,0.110738255033557,0,0.84321070891215
"905","MFNG","NOTCH2","Human","TStroma","TPancreatic_tissue",10,0.0335570469798658,0,0.996294796257526
"906","PSEN1","NOTCH2","Human","TStroma","TPancreatic_tissue",15,0.0503355704697987,0,0.996294796257526
"907","ADAM10","NOTCH2","Human","TStroma","TPancreatic_tissue",18,0.0604026845637584,0,0.996294796257526
"908","APP","NOTCH2","Human","TStroma","TPancreatic_tissue",33,0.110738255033557,0,0.996294796257526
"909","JAG2","NOTCH2","Human","TStroma","TPancreatic_tissue",15,0.0503355704697987,0,0.996294796257526
"911","PDGFC","PDGFRA","Human","TStroma","TPancreatic_tissue",11,0.0369127516778524,0,0.999957976302992
"912","PDGFB","PDGFRA","Human","TStroma","TPancreatic_tissue",4,0.0134228187919463,0.055,0.972070253058655
"9211","CD14","RIPK1","Human","TStroma","TPancreatic_tissue",24,0.0805369127516778,0,0.816775790888276
"9321","TNC","ITGAV","Human","TStroma","TPancreatic_tissue",13,0.0436241610738255,0,0.999824702638968
"933","PLAU","ITGAV","Human","TStroma","TPancreatic_tissue",10,0.0335570469798658,0.055,0.971940696249884
"935","COL4A5","ITGAV","Human","TStroma","TPancreatic_tissue",13,0.0436241610738255,0,0.999824702638968
"9361","SPP1","ITGAV","Human","TStroma","TPancreatic_tissue",44,0.147651006711409,0,0.999824702638968
"937","NID1","ITGAV","Human","TStroma","TPancreatic_tissue",26,0.087248322147651,0,0.999824702638968
"9381","PDGFB","ITGAV","Human","TStroma","TPancreatic_tissue",6,0.0201342281879195,0.036,0.981662903603291
"9411","CALR","ITGAV","Human","TStroma","TPancreatic_tissue",57,0.191275167785235,0,0.999824702638968
"942","FGG","ITGAV","Human","TStroma","TPancreatic_tissue",29,0.0973154362416107,0,0.999824702638968
"9431","FGA","ITGAV","Human","TStroma","TPancreatic_tissue",36,0.120805369127517,0,0.999824702638968
"945","MFGE8","ITGAV","Human","TStroma","TPancreatic_tissue",37,0.124161073825503,0,0.999824702638968
"946","FGB","ITGAV","Human","TStroma","TPancreatic_tissue",29,0.0973154362416107,0,0.999824702638968
"947","FBN1","ITGAV","Human","TStroma","TPancreatic_tissue",26,0.087248322147651,0,0.999824702638968
"948","AZGP1","ITGAV","Human","TStroma","TPancreatic_tissue",36,0.120805369127517,0,0.999824702638968
"949","ADAM9","ITGAV","Human","TStroma","TPancreatic_tissue",6,0.0201342281879195,0.095,0.951148116534132
"9501","VEGFA","ITGAV","Human","TStroma","TPancreatic_tissue",29,0.0973154362416107,0,0.999824702638968
"9511","ADAM15","ITGAV","Human","TStroma","TPancreatic_tissue",19,0.063758389261745,0.023,0.988259833737533
"9521","COL1A2","ITGAV","Human","TStroma","TPancreatic_tissue",50,0.167785234899329,0,0.999824702638968
"953","COL4A1","ITGAV","Human","TStroma","TPancreatic_tissue",36,0.120805369127517,0,0.999824702638968
"954","FN1","ITGAV","Human","TStroma","TPancreatic_tissue",39,0.130872483221477,0,0.999824702638968
"955","CP","SLC40A1","Human","TStroma","TPancreatic_tissue",8,0.0268456375838926,0,0.707106781186548
"965","PDGFC","PDGFRB","Human","TStroma","TPancreatic_tissue",18,0.0604026845637584,0,0.999959618592424
"968","MFGE8","PDGFRB","Human","TStroma","TPancreatic_tissue",39,0.130872483221477,0.009,0.995449629899055
"975","ADCYAP1","VIPR2","Human","TStroma","TPancreatic_tissue",1,0.00335570469798658,0.01,0.850321518789105
"986","PSEN1","NOTCH3","Human","TStroma","TPancreatic_tissue",29,0.0973154362416107,0,0.999380847888284
"9881","SCGB3A1","NOTCH3","Human","TStroma","TPancreatic_tissue",60,0.201342281879195,0,0.999380847888284
"9891","JAG2","NOTCH3","Human","TStroma","TPancreatic_tissue",29,0.0973154362416107,0,0.999380847888284
"994","BMP2","ACVR1","Human","TStroma","TPancreatic_tissue",8,0.0268456375838926,0,0.72283687043942
"1004","LAMA1","GPC1","Human","TStroma","TPancreatic_tissue",13,0.0436241610738255,0,0.906284639254553
"1005","BMP2","GPC1","Human","TStroma","TPancreatic_tissue",32,0.10738255033557,0,0.906284639254553
"1006","SLIT1","GPC1","Human","TStroma","TPancreatic_tissue",2,0.00671140939597315,0.05,0.883336999667351
"10081","APP","GPC1","Human","TStroma","TPancreatic_tissue",66,0.221476510067114,0,0.906284639254553
"10101","COL18A1","GPC1","Human","TStroma","TPancreatic_tissue",56,0.187919463087248,0.017,0.898548199009839
"10111","SLIT2","GPC1","Human","TStroma","TPancreatic_tissue",15,0.0503355704697987,0,0.906284639254553
"1012","SHH","GPC1","Human","TStroma","TPancreatic_tissue",25,0.0838926174496644,0,0.906284639254553
"10131","VEGFA","GPC1","Human","TStroma","TPancreatic_tissue",32,0.10738255033557,0,0.906284639254553
"10161","TNC","ITGA9","Human","TStroma","TPancreatic_tissue",2,0.00671140939597315,0.019,0.729112724911376
"10191","SPP1","ITGA9","Human","TStroma","TPancreatic_tissue",13,0.0436241610738255,0,0.736139588674564
"1021","ADAM12","ITGA9","Human","TStroma","TPancreatic_tissue",4,0.0134228187919463,0,0.736139588674564
"1022","VCAM1","ITGA9","Human","TStroma","TPancreatic_tissue",9,0.0302013422818792,0,0.736139588674564
"10231","TGM2","ITGA9","Human","TStroma","TPancreatic_tissue",14,0.0469798657718121,0,0.736139588674564
"10241","VEGFA","ITGA9","Human","TStroma","TPancreatic_tissue",8,0.0268456375838926,0,0.736139588674564
"10261","ADAM15","ITGA9","Human","TStroma","TPancreatic_tissue",8,0.0268456375838926,0.001,0.735771426816741
"10271","FN1","ITGA9","Human","TStroma","TPancreatic_tissue",10,0.0335570469798658,0.001,0.735771426816741
"1046","TGFA","ERBB3","Human","TStroma","TPancreatic_tissue",19,0.063758389261745,0,0.999999999836174
"1049","GPC3","IGF1R","Human","TStroma","TPancreatic_tissue",13,0.0436241610738255,0,0.998102774719625
"1050","INS","IGF1R","Human","TStroma","TPancreatic_tissue",17,0.0570469798657718,0,0.998102774719625
"10521","GNAI2","IGF1R","Human","TStroma","TPancreatic_tissue",24,0.0805369127516778,0,0.998102774719625
"1054","S100A4","ERBB2","Human","TStroma","TPancreatic_tissue",39,0.130872483221477,0.011,0.994483880666723
"1056","SEMA4D","ERBB2","Human","TStroma","TPancreatic_tissue",16,0.0536912751677852,0,0.999999084380746
"1058","HLA-A","ERBB2","Human","TStroma","TPancreatic_tissue",77,0.258389261744966,0.06,0.969535083757463
"1059","NRG4","ERBB2","Human","TStroma","TPancreatic_tissue",10,0.0335570469798658,0,0.999999084380746
"1060","HSP90B1","ERBB2","Human","TStroma","TPancreatic_tissue",48,0.161073825503356,0.001,0.999498959776131
"1061","TGFA","ERBB2","Human","TStroma","TPancreatic_tissue",22,0.0738255033557047,0,0.999999084380746
"1063","HSP90AA1","ERBB2","Human","TStroma","TPancreatic_tissue",42,0.140939597315436,0,0.999999084380746
"11061","GNAI2","ADRA2A","Human","TStroma","TPancreatic_tissue",41,0.13758389261745,0,0.870690341891388
"11071","AGT","ADRA2A","Human","TStroma","TPancreatic_tissue",26,0.087248322147651,0,0.870690341891388
"1108","CXCL12","ADRA2A","Human","TStroma","TPancreatic_tissue",13,0.0436241610738255,0,0.870690341891388
"1109","CXCL3","ADRA2A","Human","TStroma","TPancreatic_tissue",10,0.0335570469798658,0,0.870690341891388
"11101","CCL5","ADRA2A","Human","TStroma","TPancreatic_tissue",11,0.0369127516778524,0,0.870690341891388
"11111","SST","ADRA2A","Human","TStroma","TPancreatic_tissue",10,0.0335570469798658,0,0.870690341891388
"1113","SAA1","ADRA2A","Human","TStroma","TPancreatic_tissue",8,0.0268456375838926,0.005,0.868510888305741
"1116","CXCL2","ADRA2A","Human","TStroma","TPancreatic_tissue",28,0.0939597315436242,0,0.870690341891388
"1118","CXCL5","ADRA2A","Human","TStroma","TPancreatic_tissue",10,0.0335570469798658,0,0.870690341891388
"11201","APP","ADRA2A","Human","TStroma","TPancreatic_tissue",42,0.140939597315436,0,0.870690341891388
"11211","CXCL1","ADRA2A","Human","TStroma","TPancreatic_tissue",14,0.0469798657718121,0,0.870690341891388
"11231","PPY","ADRA2A","Human","TStroma","TPancreatic_tissue",48,0.161073825503356,0,0.870690341891388
"1124","CXCL16","ADRA2A","Human","TStroma","TPancreatic_tissue",28,0.0939597315436242,0,0.870690341891388
"1128","ANXA1","ADRA2A","Human","TStroma","TPancreatic_tissue",22,0.0738255033557047,0,0.870690341891388
"1140","COL4A5","ITGA1","Human","TStroma","TPancreatic_tissue",5,0.0167785234899329,0,0.737699790938901
"1142","LAMA1","ITGA1","Human","TStroma","TPancreatic_tissue",5,0.0167785234899329,0,0.737699790938901
"11431","COL6A1","ITGA1","Human","TStroma","TPancreatic_tissue",12,0.0402684563758389,0.064,0.713703102649845
"1145","COL5A1","ITGA1","Human","TStroma","TPancreatic_tissue",23,0.0771812080536913,0,0.737699790938901
"1146","COL6A2","ITGA1","Human","TStroma","TPancreatic_tissue",22,0.0738255033557047,0.051,0.718642283401264
"1148","COL6A3","ITGA1","Human","TStroma","TPancreatic_tissue",22,0.0738255033557047,0.002,0.736961721928755
"1150","COL1A2","ITGA1","Human","TStroma","TPancreatic_tissue",23,0.0771812080536913,0.006,0.735483361920575
"1151","COL4A1","ITGA1","Human","TStroma","TPancreatic_tissue",15,0.0503355704697987,0,0.737699790938901
"1159","CSF1","CSF1R","Human","TStroma","TPancreatic_tissue",17,0.0570469798657718,0,0.999924992793544
"1176","FGF19","FGFR4","Human","TStroma","TPancreatic_tissue",21,0.0704697986577181,0,0.999911216851535
"1183","FGG","ITGA5","Human","TStroma","TPancreatic_tissue",22,0.0738255033557047,0,0.885842247409127
"11841","FGA","ITGA5","Human","TStroma","TPancreatic_tissue",29,0.0973154362416107,0,0.885842247409127
"11851","FGB","ITGA5","Human","TStroma","TPancreatic_tissue",23,0.0771812080536913,0,0.885842247409127
"1186","FBN1","ITGA5","Human","TStroma","TPancreatic_tissue",20,0.0671140939597315,0.012,0.880511152369641
"1191","FN1","ITGA5","Human","TStroma","TPancreatic_tissue",30,0.100671140939597,0.083,0.848283572191151
"1196","PSEN1","NCSTN","Human","TStroma","TPancreatic_tissue",17,0.0570469798657718,0,0.749636557159236
"1204","PLAU","ITGB5","Human","TStroma","TPancreatic_tissue",11,0.0369127516778524,0.083,0.820985689799208
"12071","SPP1","ITGB5","Human","TStroma","TPancreatic_tissue",43,0.144295302013423,0.006,0.854759844873283
"12081","TLN1","ITGB5","Human","TStroma","TPancreatic_tissue",31,0.104026845637584,0,0.857335721666648
"12091","COL4A2","ITGB5","Human","TStroma","TPancreatic_tissue",55,0.184563758389262,0,0.857335721666648
"12111","COL18A1","ITGB5","Human","TStroma","TPancreatic_tissue",41,0.13758389261745,0.015,0.850881408629303
"1212","ITGB3BP","ITGB5","Human","TStroma","TPancreatic_tissue",11,0.0369127516778524,0,0.857335721666648
"12131","LTBP3","ITGB5","Human","TStroma","TPancreatic_tissue",40,0.134228187919463,0.002,0.856477956847916
"1214","LTBP1","ITGB5","Human","TStroma","TPancreatic_tissue",18,0.0604026845637584,0,0.857335721666648
"1216","COL4A5","ITGA2","Human","TStroma","TPancreatic_tissue",3,0.0100671140939597,0.019,0.738009747333773
"1217","LAMA2","ITGA2","Human","TStroma","TPancreatic_tissue",3,0.0100671140939597,0.057,0.723574812136216
"1218","LAMA1","ITGA2","Human","TStroma","TPancreatic_tissue",3,0.0100671140939597,0.009,0.741761727526612
"1219","LAMC3","ITGA2","Human","TStroma","TPancreatic_tissue",6,0.0201342281879195,0.026,0.735371971097033
"1230","COL4A1","ITGA2","Human","TStroma","TPancreatic_tissue",14,0.0469798657718121,0.001,0.744749702271943
"1233","COL3A1","ITGA2","Human","TStroma","TPancreatic_tissue",22,0.0738255033557047,0.051,0.725873096840021
"12431","GAS6","AXL","Human","TStroma","TPancreatic_tissue",51,0.171140939597315,0,0.999457430638606
"1249","INS","INSR","Human","TStroma","TPancreatic_tissue",47,0.157718120805369,0,0.961791835960839
"1250","ARF1","INSR","Human","TStroma","TPancreatic_tissue",36,0.120805369127517,0,0.961791835960839
"12531","HRAS","INSR","Human","TStroma","TPancreatic_tissue",29,0.0973154362416107,0,0.961791835960839
"12541","CALM1","INSR","Human","TStroma","TPancreatic_tissue",45,0.151006711409396,0,0.961791835960839
"1269","LAMA1","SDC2","Human","TStroma","TPancreatic_tissue",5,0.0167785234899329,0,0.925606484827446
"1270","HRAS","SDC2","Human","TStroma","TPancreatic_tissue",12,0.0402684563758389,0,0.925606484827446
"1272","FN1","SDC2","Human","TStroma","TPancreatic_tissue",19,0.063758389261745,0,0.925606484827446
"1273","PLAU","MRC2","Human","TStroma","TPancreatic_tissue",14,0.0469798657718121,0.011,0.935256440592802
"12741","LGALS9","MRC2","Human","TStroma","TPancreatic_tissue",35,0.11744966442953,0,0.940443181066929
"12751","CALM1","AQP1","Human","TStroma","TPancreatic_tissue",64,0.214765100671141,0,0.710469226825928
"1328","FGF16","FGFR3","Human","TStroma","TPancreatic_tissue",2,0.00671140939597315,0.077,0.960650178076073
"1351","EFNA1","EPHA2","Human","TStroma","TPancreatic_tissue",17,0.0570469798657718,0.025,0.986255040875844
"1353","SEMA4D","PLXNB1","Human","TStroma","TPancreatic_tissue",20,0.0671140939597315,0,0.886088362209132
"1364","GNAS","ADORA1","Human","TStroma","TPancreatic_tissue",15,0.0503355704697987,0.002,0.896993417960878
"1372","MDK","SDC4","Human","TStroma","TPancreatic_tissue",51,0.171140939597315,0.067,0.858378196175995
"13731","CXCL12","SDC4","Human","TStroma","TPancreatic_tissue",20,0.0671140939597315,0,0.888664549376595
"13742","CCL5","SDC4","Human","TStroma","TPancreatic_tissue",17,0.0570469798657718,0,0.888664549376595
"1375","LAMA1","SDC4","Human","TStroma","TPancreatic_tissue",15,0.0503355704697987,0,0.888664549376595
"1381","ALOX5AP","ALOX5","Human","TStroma","TPancreatic_tissue",12,0.0402684563758389,0,0.784549469453003
"13851","VEGFA","EPHB2","Human","TStroma","TPancreatic_tissue",13,0.0436241610738255,0,0.840741575461747
"1386","AFDN","EPHB2","Human","TStroma","TPancreatic_tissue",17,0.0570469798657718,0,0.840741575461747
"1395","SPTBN2","PTPRA","Human","TStroma","TPancreatic_tissue",15,0.0503355704697987,0,0.998214152309054
"1398","MDK","SDC1","Human","TStroma","TPancreatic_tissue",53,0.177852348993289,0.007,0.974482774785902
"13991","CCL5","SDC1","Human","TStroma","TPancreatic_tissue",14,0.0469798657718121,0.003,0.976443506697531
"14001","SLIT2","SDC1","Human","TStroma","TPancreatic_tissue",16,0.0536912751677852,0,0.977911475714839
"1402","HLA-G","KLRD1","Human","TStroma","TPancreatic_tissue",8,0.0268456375838926,0,0.999998250387935
"1403","B2M","KLRD1","Human","TStroma","TPancreatic_tissue",23,0.0771812080536913,0,0.999998250387935
"1404","HLA-B","KLRD1","Human","TStroma","TPancreatic_tissue",22,0.0738255033557047,0,0.999998250387935
"1413","NPNT","ITGB1","Human","TStroma","TPancreatic_tissue",14,0.0469798657718121,0,0.971736638200636
"1414","MDK","ITGB1","Human","TStroma","TPancreatic_tissue",21,0.0704697986577181,0,0.971736638200636
"1416","RELN","ITGB1","Human","TStroma","TPancreatic_tissue",8,0.0268456375838926,0,0.971736638200636
"14211","VEGFA","ITGB1","Human","TStroma","TPancreatic_tissue",16,0.0536912751677852,0,0.971736638200636
"1423","SPON2","ITGB2","Human","TStroma","TPancreatic_tissue",17,0.0570469798657718,0.003,0.983827357712796
"1424","ICAM2","ITGB2","Human","TStroma","TPancreatic_tissue",8,0.0268456375838926,0,0.98530642748959
"1427","LAMA2","ITGA6","Human","TStroma","TPancreatic_tissue",4,0.0134228187919463,0.002,0.854244574083831
"14281","ADAM9","ITGA6","Human","TStroma","TPancreatic_tissue",4,0.0134228187919463,0.084,0.818398255866014
"1436","VIM","CD44","Human","TStroma","TPancreatic_tissue",37,0.124161073825503,0,0.930724413574934
"14381","SEMA4D","PLXNB2","Human","TStroma","TPancreatic_tissue",28,0.0939597315436242,0,0.947343707195136
"721","HSPG2","SDC1","Human","TCancer_region","TPancreatic_tissue",6,0.75,0.016,0.74010897230821
"13981","MDK","SDC1","Human","TCancer_region","TPancreatic_tissue",4,0.5,0.008,0.743111455112554
"8","GRN","TNFRSF1A","Human","TPancreatic_tissue","TDuct_epithelium",32,0.516129032258065,0.004,0.717704378653092
"391","SEMA4G","PLXNB2","Human","TPancreatic_tissue","TDuct_epithelium",11,0.17741935483871,0,0.768429583357837
"1652","FGF23","FGFR3","Human","TPancreatic_tissue","TDuct_epithelium",4,0.0645161290322581,0.048,0.769589511818037
"2432","LAMC1","ITGA2","Human","TPancreatic_tissue","TDuct_epithelium",3,0.0483870967741935,0.025,0.714181444193456
"2542","MMP7","SDC1","Human","TPancreatic_tissue","TDuct_epithelium",19,0.306451612903226,0,0.751300150579861
"542","SEMA4C","PLXNB2","Human","TPancreatic_tissue","TDuct_epithelium",6,0.0967741935483871,0.005,0.766506102034812
"6121","HSP90AA1","FGFR3","Human","TPancreatic_tissue","TDuct_epithelium",10,0.161290322580645,0.007,0.785986868691644
"6211","PTN","SDC1","Human","TPancreatic_tissue","TDuct_epithelium",3,0.0483870967741935,0.012,0.746778744519544
"6292","HMGB1","SDC1","Human","TPancreatic_tissue","TDuct_epithelium",12,0.193548387096774,0.001,0.750924406545067
"7211","HSPG2","SDC1","Human","TPancreatic_tissue","TDuct_epithelium",27,0.435483870967742,0.017,0.744886725405198
"8091","LTB","TNFRSF1A","Human","TPancreatic_tissue","TDuct_epithelium",16,0.258064516129032,0,0.719144108041179
